epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,19015.1,1.27298,0.87156,1.19152,0.86251,0.55929,0.64092,0.40478,1.6293,1.14887,1.3979,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,19581.5,1.26067,0.86111,1.1846,0.86466,0.55831,0.64098,0.40482,1.62992,1.14782,1.39752,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,20147.2,1.25277,0.85211,1.17891,0.86428,0.5588,0.64113,0.40453,1.63054,1.14673,1.39736,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,20714.2,1.23918,0.84046,1.1732,0.8653,0.55823,0.64081,0.40469,1.63261,1.14514,1.39839,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,21278.6,1.23478,0.83843,1.16869,0.86763,0.55729,0.64079,0.40446,1.6341,1.14492,1.39845,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,21846.7,1.22485,0.82533,1.16302,0.8714,0.55674,0.64101,0.40465,1.6361,1.14394,1.39878,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,22412.9,1.21575,0.81705,1.15709,0.87044,0.55777,0.64094,0.40395,1.6387,1.14378,1.39968,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,22979.8,1.20672,0.8113,1.1543,0.87104,0.55813,0.64061,0.40354,1.64111,1.14354,1.40087,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,23546,1.1983,0.80467,1.14794,0.87184,0.55774,0.6407,0.40308,1.64409,1.14319,1.40242,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,24117.1,1.1356,0.73281,1.09337,0.87054,0.55823,0.64044,0.40268,1.64699,1.14262,1.40399,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,24688,1.11333,0.71093,1.07755,0.87211,0.55817,0.6402,0.40267,1.65041,1.14222,1.40552,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,25259.8,1.09343,0.69126,1.06735,0.87376,0.55759,0.64032,0.40241,1.654,1.14172,1.40733,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,25831.6,1.07881,0.67713,1.0598,0.8749,0.55737,0.64049,0.4019,1.65792,1.14198,1.40937,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,26403.6,1.06256,0.66289,1.04918,0.87427,0.55692,0.63965,0.40138,1.66231,1.14202,1.41179,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,26974.6,1.05238,0.65315,1.04391,0.87283,0.55782,0.63946,0.40098,1.66667,1.1413,1.41434,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,27544.3,1.03771,0.64116,1.03543,0.87315,0.55795,0.63929,0.40034,1.67176,1.1411,1.41699,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,28114,1.02596,0.62957,1.02562,0.87193,0.5579,0.63865,0.39918,1.67729,1.14179,1.42028,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,28681.5,1.01302,0.61937,1.02193,0.87375,0.55656,0.63794,0.39832,1.68278,1.14201,1.42335,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,29250.8,1.00104,0.60915,1.01728,0.87422,0.55665,0.63756,0.39743,1.68805,1.1429,1.42693,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
